LATITUDE,LONGITUDE,API,USGSREGION,FORMATION,BASIN,BASINCODE,STATE,STATECODE,COUNTY,COUNTYCODE,FIELD,FIELDCODE,WELLNAME,WELLTYPE,DEPTHUPPER,DEPTHLOWER,DEPTHWELL,ELEVATION,SG,SPGRAV,SPGRAVT,RESIS,RESIST,PH,UNITS,TDSUSGS,TDS,chargebalance,B,Br,HCO3,Ca,Cl,I,K,Li,Mg,Na,SO4,Sr,Count Blank,Count Blank More
31.6895,-102.6545,42135014970000,West Texas and Eastern New Mexico,Detrital Devonian,Permian,430,Texas,42,Ector,135,Metz,48-470210,Connell 17d,Conventional Hydrocarbon,6940,7050,9157,2857,1.125,1.125,60,1.125,60,6.42,mg/L,353786,353786,0,15.83,234.075,466.88,18731,217237.5,8.615,1831,12.38,7436.25,105393.38,2396.25,281.25,56,71
32.4875,-100.1746,42353010570000,West Texas and Eastern New Mexico,Caddo,Permian,430,Texas,42,Nolan,353,White Flat,48-764106,J.m. Freeman,Conventional Hydrocarbon,5403,5546,5549,1978,1.051,1.051,60,0.136,73,7.32,mg/L,68491,68491,-0.1,9,234.075,195,2280,39900,2,496,12,632,22797.58,2125,53,54,69
31.9012,-102.5525,42103042620000,West Texas and Eastern New Mexico,Holt,Permian,430,Texas,42,Crane,103,Donnelly-holt,48-197169,J.l. Johnson Unit #43,Conventional Hydrocarbon,5636,5800,5800,3081,1.084,1.084,60,0.109,70,7.4,mg/L,122901,122901,0,11,51,722,2960,71800,8.615,773,12,1457,42469.29,4820,102,54,69
30.7238,-100.4371,42413005760000,West Texas and Eastern New Mexico,Strawn,Permian,430,Texas,42,Schleicher,413,Wildcat,48-768291,Copeland #1,Conventional Hydrocarbon,5477,5505,6486,2359,1.058,1.058,60,0.13,74,7.02,mg/L,79608,79608,-0.1,15.83,234.075,424,2520,47050,8.615,585,12,559,26894,1366,198,56,71
31.6882,-102.1465,42329100080000,West Texas and Eastern New Mexico,Spraberry,Permian,430,Texas,42,Midland,329,Pegasus,48-548165,June Tippett #33,Conventional Hydrocarbon,7652,7730,13270,2895,1.058,1.058,60,0.121,72,7.41,mg/L,82430,82430,-0.1,15.83,234.075,305,1560,49650,8.615,285,12,292,29772,295,259,56,71
32.6891,-102.0557,42115000460000,West Texas and Eastern New Mexico,Spraberry,Permian,430,Texas,42,Dawson,115,,,#1 Hardy,Conventional Hydrocarbon,8099,8210,12166,2752,1.073,1.073,15.6,0.885,77,7.92,mg/L,111404,111404,0.2,27.9,673.84,299.37,2317,66959.49,70.82,269.32,11.8,574.06,40229.05,986.09,528.99,53,68
32.8569,-103.8764,30015050740000,West Texas and Eastern New Mexico,Wolfcamp,Permian,430,New Mexico,30,Eddy,15,Grayburg-jackson,35-286570,H. E. West /b/ #27,Conventional Hydrocarbon,8975,9070,12860,2752,1.073,1.073,60,0.781,76,7.9,mg/L,116920,116920,87.6,15.83,234.075,196.36,4635,4635.36,8.615,126.61,11.8,1511.86,38220.26,1510.6,174.9,56,71
31.2719,-102.664,42371042210000,West Texas and Eastern New Mexico,Waddell,Permian,430,Texas,42,Pecos,371,Abell,48-001652,Bessie Heierman #1,Conventional Hydrocarbon,5882,5900,5500,2752,1.057,1.057,60,0.115,62,6.62,mg/L,75789,75789,0.1,4.23,257.91,77.16,6468,46847.3,6.34,216.69,11.63,1002.04,21394.8,903.74,258.97,53,67
31.0857,-101.9778,42461038430000,West Texas and Eastern New Mexico,Permian Detrital,Permian,430,Texas,42,Upton,461,,,#1-b Corbett,Conventional Hydrocarbon,6363,6414,6855,2548,1.054,1.054,60,0.1115,75,6.63,mg/L,71017,71017,-0.1,15.83,234.075,360.47,2909,42043.01,8.615,790.5,11.59,793.66,22675.76,1362.82,70.62,56,70
32.9592,-102.3624,42445007070000,West Texas and Eastern New Mexico,Pennsylvanian,Permian,430,Texas,42,Terry,445,,,#1 Sims,Conventional Hydrocarbon,9825,9886,10514,2752,1.052,1.052,60,1.137,75,8.31,mg/L,73066,73066,0.2,9.47,307.18,27.35,2566,43828.42,8.42,232.49,11.57,434.48,25061.44,966.79,267.21,52,66
31.718,-102.9948,42495044540000,West Texas and Eastern New Mexico,San Andres,Permian,430,Texas,42,Winkler,495,Halley,48-300375,Sealy & Smith Fnd.,Conventional Hydrocarbon,4790,4850,12124,2752,1.145,1.145,60,0.049,79,6.2,mg/L,238677,238677,0,9.16,83.59,446.55,2198,140876.22,8.615,644.64,11.45,1001.88,88856.43,4646.41,169.46,54,68
31.6773,-102.2319,42329016110000,West Texas and Eastern New Mexico,Penn,Permian,430,Texas,42,Midland,329,Sweetie Peck,48-692550,June Sanders,Conventional Hydrocarbon,10600,6412,11801,2904,1.055,1.055,60,0.098,77,7.3,mg/L,75048,75048,0.2,56,137,174,6030,45700,46,75,11,633,21755.16,505,360,53,68
32.2927,-101.0921,42335302820000,West Texas and Eastern New Mexico,Wichita Albany,Permian,430,Texas,42,Mitchell,335,Wildcat,48-768291,Barber #1,Conventional Hydrocarbon,3527,3557,3700,2752,1.067,1.067,60,0.077,76,7.62,mg/L,91262,91262,-0.1,12,144,366,3310,52500,1,407,11,1140,29720.5,3670,4,53,68
32.5287,-102.5588,42165025320000,West Texas and Eastern New Mexico,Unknown,Permian,430,Texas,42,Gaines,165,Nolley Wolfcamp,,H. R. Cope #4-b,Conventional Hydrocarbon,9061,9169,9539,3175,1.076,1.076,60.08,0.076,78,6.78,mg/L,112139,112139,0,27.98,156.02,813.46,4734,67338.23,11.84,646.68,10.76,1568.81,35833.19,1398.8,123.74,53,68
32.5042,-100.3983,42353010590000,West Texas and Eastern New Mexico,Caddo,Permian,430,Texas,42,Nolan,353,,,"Gulf, Colo & Santa Fe #1",Conventional Hydrocarbon,6307,6311,6251,2070,1.075,1.075,60,0.0788,77,6.03,mg/L,106638,106638,0,11.83,113.95,327.88,8600,64797.78,2.15,433.23,10.75,1671.63,29428.1,1297.53,109.65,53,67
31.8558,-101.401,42173007880000,West Texas and Eastern New Mexico,Clear Fork,Permian,430,Texas,42,Glasscock,173,,,#1 Henrietta Long,Conventional Hydrocarbon,5110,5165,10230,2588,1.061,1.061,60,0.091,67,7.78,mg/L,92571,92571,0,25.46,235.54,710.87,2546,53608.09,44.56,272.68,10.61,825.46,31797.74,2926.24,134.75,53,67
